Date,Open,High,Low,Last,Close,Quantity,Turnover
9/1/2017,2480,2498.05,2436.55,2460.6,2456.45,851165,20877.7
8/31/2017,2485,2504.4,2466.65,2498,2496.35,892332,22218.3
8/30/2017,2481,2490,2460.1,2485,2484.55,485391,12030.21
8/29/2017,2482,2496,2463.95,2475.05,2470.85,656301,16230.11
8/28/2017,2504.6,2505.4,2461,2491,2487.3,1018398,25253.79
8/24/2017,2497.7,2517.95,2486.15,2498.05,2496.6,811954,20264.87
8/23/2017,2505,2516.8,2473.15,2491.6,2489.45,781136,19430.94
8/22/2017,2523,2539.5,2492,2500,2497.55,565663,14232.52
8/21/2017,2505.5,2549,2494.3,2513.2,2528.8,1152417,29209.42
8/18/2017,2474,2549.9,2471.4,2515,2513.8,1418678,35762.82
8/17/2017,2500.7,2505,2462.1,2485.55,2485.65,876187,21729.78
8/16/2017,2484,2543.8,2465.2,2490.15,2492.35,686670,17082.02
8/14/2017,2503,2509.9,2463,2468,2469.4,393252,9781.2
8/11/2017,2499.9,2535,2483,2492.65,2496.05,697368,17460.6
8/10/2017,2509,2520.6,2486.35,2520,2511.45,763086,19071.17
8/9/2017,2500,2522.85,2493.3,2508.35,2512,496473,12468.03
8/8/2017,2512,2528.6,2496.3,2500.15,2503.05,536979,13465.5
8/7/2017,2516.5,2520,2481.2,2507.4,2503.45,942760,23486.82
8/4/2017,2490.8,2528.3,2488,2525,2522.8,693945,17423.96
8/3/2017,2480,2502,2466.45,2490.05,2489.45,941274,23407.1
8/2/2017,2500,2508,2462,2475,2473.8,625512,15540.9
8/1/2017,2500,2520.75,2491,2495.15,2501.65,873730,21861.95
7/31/2017,2471,2519,2463,2494.95,2491.8,1009831,25145.1
7/28/2017,2481,2493.05,2442,2484.95,2484.3,691376,17059.08
7/27/2017,2542.2,2584.8,2466.5,2477,2481.7,2127652,53188.06
7/26/2017,2560,2575,2547,2552,2556,729913,18683.3
7/25/2017,2525.75,2580,2518.4,2579,2571.5,1339416,34187.36
7/24/2017,2482,2540,2482,2535,2530.7,1135701,28613.64
7/21/2017,2434.9,2500,2434.55,2496,2491.2,1074208,26567.05
7/20/2017,2449.25,2456.9,2430.5,2437,2444.7,591252,14433.94
